recipe_id,recipe_name,ingredient_id,ingredient_name,importance,quantity
1,Mediterranean Tomato Cucumber Salad,101,Tomato,core,200g
1,Mediterranean Tomato Cucumber Salad,102,Cucumber,core,150g
1,Mediterranean Tomato Cucumber Salad,103,Red Onion,secondary,50g
1,Mediterranean Tomato Cucumber Salad,302,Olive Oil,secondary,30ml
2,Coconut Chicken Curry,201,Chicken Breast,core,500g
2,Coconut Chicken Curry,202,Ginger,core,20g
2,Coconut Chicken Curry,203,Coconut Milk,core,400ml
2,Coconut Chicken Curry,204,Curry Powder,secondary,30g
2,Coconut Chicken Curry,205,Garlic,secondary,10g
2,Coconut Chicken Curry,302,Olive Oil,secondary,30ml
3,Vegetable Medley Roast,301,Mixed Vegetables,core,400g
3,Vegetable Medley Roast,302,Olive Oil,core,50ml
3,Vegetable Medley Roast,204,Curry Powder,secondary,10g
3,Vegetable Medley Roast,205,Garlic,secondary,5g
4,Classic Egg Toast,401,Bread,core,2
4,Classic Egg Toast,402,Egg,core,2
4,Classic Egg Toast,302,Olive Oil,secondary,10ml
4,Classic Egg Toast,205,Garlic,optional,2
5,Banana Honey Smoothie,501,Banana,core,200g
5,Banana Honey Smoothie,502,Greek Yogurt,core,150ml
5,Banana Honey Smoothie,503,Honey,secondary,30ml
5,Banana Honey Smoothie,302,Olive Oil,optional,10ml
6,Lemon Dill Salmon,601,Salmon,core,600g
6,Lemon Dill Salmon,602,Lemon,secondary,30ml
6,Lemon Dill Salmon,603,Dill,secondary,10g
6,Lemon Dill Salmon,302,Olive Oil,core,20ml
7,Spinach and Tofu Stir Fry,702,Tofu,core,300g
7,Spinach and Tofu Stir Fry,801,Spinach,core,200g
7,Spinach and Tofu Stir Fry,802,Bell Pepper,secondary,100g
7,Spinach and Tofu Stir Fry,1101,Basil,secondary,10g
7,Spinach and Tofu Stir Fry,1301,Soy Sauce,secondary,30ml
8,Mediterranean Lamb with Roasted Vegetables,704,Lamb,core,500g
8,Mediterranean Lamb with Roasted Vegetables,803,Eggplant,core,250g
8,Mediterranean Lamb with Roasted Vegetables,804,Zucchini,core,200g
8,Mediterranean Lamb with Roasted Vegetables,805,Carrot,secondary,150g
8,Mediterranean Lamb with Roasted Vegetables,1102,Cilantro,secondary,15g
8,Mediterranean Lamb with Roasted Vegetables,1104,Paprika,secondary,5g
9,Avocado and Shrimp Rice Bowl,703,Shrimp,core,250g
9,Avocado and Shrimp Rice Bowl,1203,Avocado,core,200g
9,Avocado and Shrimp Rice Bowl,901,Rice,core,150g
9,Avocado and Shrimp Rice Bowl,802,Bell Pepper,secondary,100g
9,Avocado and Shrimp Rice Bowl,1302,Vinegar,secondary,20ml
9,Avocado and Shrimp Rice Bowl,1103,Mint,optional,10g
10,Vegetarian Potato and Cheese Bake,903,Potato,core,400g
10,Vegetarian Potato and Cheese Bake,1001,Cheese,core,200g
10,Vegetarian Potato and Cheese Bake,801,Spinach,secondary,150g
10,Vegetarian Potato and Cheese Bake,1105,Cumin,secondary,5g
10,Vegetarian Potato and Cheese Bake,1402,Flour,optional,50g
11,Apple Cinnamon Oatmeal,1201,Apple,core,200g
11,Apple Cinnamon Oatmeal,1401,Sugar,secondary,30g
11,Apple Cinnamon Oatmeal,1403,Vanilla Extract,secondary,10ml
11,Apple Cinnamon Oatmeal,1502,Chia Seeds,optional,15g
12,Beef and Vegetable Pasta,701,Beef,core,400g
12,Beef and Vegetable Pasta,902,Pasta,core,250g
12,Beef and Vegetable Pasta,802,Bell Pepper,secondary,150g
12,Beef and Vegetable Pasta,804,Zucchini,secondary,100g
12,Beef and Vegetable Pasta,1303,Mustard,optional,20g
13,Zucchini Noodle Shrimp Alfredo,703,Shrimp,core,300g
13,Zucchini Noodle Shrimp Alfredo,804,Zucchini,core,400g
13,Zucchini Noodle Shrimp Alfredo,1003,Cream,core,200ml
13,Zucchini Noodle Shrimp Alfredo,1001,Cheese,secondary,100g
13,Zucchini Noodle Shrimp Alfredo,1101,Basil,secondary,15g
14,Spicy Tofu and Bell Pepper Curry,702,Tofu,core,350g
14,Spicy Tofu and Bell Pepper Curry,802,Bell Pepper,core,200g
14,Spicy Tofu and Bell Pepper Curry,203,Coconut Milk,core,300ml
14,Spicy Tofu and Bell Pepper Curry,1104,Paprika,secondary,10g
14,Spicy Tofu and Bell Pepper Curry,1105,Cumin,secondary,5g
14,Spicy Tofu and Bell Pepper Curry,1102,Cilantro,optional,15g
15,Mediterranean Lamb Salad,704,Lamb,core,400g
15,Mediterranean Lamb Salad,801,Spinach,core,150g
15,Mediterranean Lamb Salad,102,Cucumber,core,100g
15,Mediterranean Lamb Salad,103,Red Onion,secondary,50g
15,Mediterranean Lamb Salad,1302,Vinegar,secondary,30ml
15,Mediterranean Lamb Salad,1101,Basil,optional,10g
16,Loaded Vegetable Potato Skins,903,Potato,core,500g
16,Loaded Vegetable Potato Skins,1001,Cheese,core,150g
16,Loaded Vegetable Potato Skins,802,Bell Pepper,secondary,100g
16,Loaded Vegetable Potato Skins,801,Spinach,secondary,100g
16,Loaded Vegetable Potato Skins,1503,Peanut,optional,50g
17,Tropical Shrimp Coconut Rice,703,Shrimp,core,300g
17,Tropical Shrimp Coconut Rice,901,Rice,core,200g
17,Tropical Shrimp Coconut Rice,203,Coconut Milk,core,250ml
17,Tropical Shrimp Coconut Rice,1202,Orange,secondary,150g
17,Tropical Shrimp Coconut Rice,1103,Mint,optional,10g
18,Vegan Lentil and Vegetable Stew,702,Tofu,core,250g
18,Vegan Lentil and Vegetable Stew,801,Spinach,core,200g
18,Vegan Lentil and Vegetable Stew,804,Zucchini,core,150g
18,Vegan Lentil and Vegetable Stew,1105,Cumin,secondary,5g
18,Vegan Lentil and Vegetable Stew,1104,Paprika,secondary,5g
18,Vegan Lentil and Vegetable Stew,1102,Cilantro,optional,15g
19,Apple Almond Breakfast Parfait,1201,Apple,core,200g
19,Apple Almond Breakfast Parfait,1501,Almonds,core,100g
19,Apple Almond Breakfast Parfait,1002,Milk,core,250ml
19,Apple Almond Breakfast Parfait,1401,Sugar,secondary,30g
19,Apple Almond Breakfast Parfait,1502,Chia Seeds,optional,15g
20,Mediterranean Beef and Quinoa Pasta,701,Beef,core,400g
20,Mediterranean Beef and Quinoa Pasta,902,Pasta,core,250g
20,Mediterranean Beef and Quinoa Pasta,803,Eggplant,secondary,150g
20,Mediterranean Beef and Quinoa Pasta,1601,Quinoa,secondary,100g
20,Mediterranean Beef and Quinoa Pasta,1103,Mint,optional,10g
20,Mediterranean Beef and Quinoa Pasta,1303,Mustard,secondary,20g
21,Protein-Packed Chickpea Power Bowl,1603,Chickpeas,core,250g
21,Protein-Packed Chickpea Power Bowl,903,Potato,core,200g
21,Protein-Packed Chickpea Power Bowl,801,Spinach,core,150g
21,Protein-Packed Chickpea Power Bowl,1605,Tahini,secondary,30ml
21,Protein-Packed Chickpea Power Bowl,1103,Mint,optional,10g
21,Protein-Packed Chickpea Power Bowl,302,Olive Oil,core,20ml
22,Spicy Mediterranean Roasted Vegetable and Lentil Medley,802,Bell Pepper,core,250g
22,Spicy Mediterranean Roasted Vegetable and Lentil Medley,1602,Lentils,core,200g
22,Spicy Mediterranean Roasted Vegetable and Lentil Medley,1202,Orange,secondary,150g
22,Spicy Mediterranean Roasted Vegetable and Lentil Medley,302,Olive Oil,core,40ml
22,Spicy Mediterranean Roasted Vegetable and Lentil Medley,1604,Nutritional Yeast,secondary,10g
22,Spicy Mediterranean Roasted Vegetable and Lentil Medley,1104,Paprika,secondary,10g
22,Spicy Mediterranean Roasted Vegetable and Lentil Medley,1105,Cumin,secondary,10g
23,Coconut Seitan Vegetable Curry,702,Tofu,core,350g
23,Coconut Seitan Vegetable Curry,203,Coconut Milk,core,300ml
23,Coconut Seitan Vegetable Curry,804,Zucchini,core,200g
23,Coconut Seitan Vegetable Curry,1503,Peanut,secondary,30g
23,Coconut Seitan Vegetable Curry,1103,Mint,optional,10g
23,Coconut Seitan Vegetable Curry,302,Olive Oil,secondary,25ml
24,Mediterranean Halloumi and Roasted Vegetable Salad,1001,Cheese,core,250g
24,Mediterranean Halloumi and Roasted Vegetable Salad,1202,Orange,secondary,150g
24,Mediterranean Halloumi and Roasted Vegetable Salad,102,Cucumber,core,100g
24,Mediterranean Halloumi and Roasted Vegetable Salad,103,Red Onion,secondary,50g
24,Mediterranean Halloumi and Roasted Vegetable Salad,302,Olive Oil,core,30ml
24,Mediterranean Halloumi and Roasted Vegetable Salad,1302,Vinegar,secondary,20ml
25,Spicy Tempeh and Bok Choy Stir Fry,702,Tofu,core,250g
25,Spicy Tempeh and Bok Choy Stir Fry,1201,Apple,core,200g
25,Spicy Tempeh and Bok Choy Stir Fry,804,Zucchini,core,150g
25,Spicy Tempeh and Bok Choy Stir Fry,1301,Soy Sauce,secondary,30ml
25,Spicy Tempeh and Bok Choy Stir Fry,602,Lemon,secondary,20ml
25,Spicy Tempeh and Bok Choy Stir Fry,1101,Basil,optional,10g
26,Protein-Packed Black Bean and Avocado Bowl,1603,Chickpeas,core,300g
26,Protein-Packed Black Bean and Avocado Bowl,1203,Avocado,core,200g
26,Protein-Packed Black Bean and Avocado Bowl,902,Pasta,core,150g
26,Protein-Packed Black Bean and Avocado Bowl,302,Olive Oil,core,40ml
26,Protein-Packed Black Bean and Avocado Bowl,1102,Cilantro,optional,5g
27,Mediterranean Feta and Vegetable Feast,1001,Cheese,core,250g
27,Mediterranean Feta and Vegetable Feast,102,Cucumber,core,200g
27,Mediterranean Feta and Vegetable Feast,801,Spinach,secondary,150g
27,Mediterranean Feta and Vegetable Feast,302,Olive Oil,core,30ml
27,Mediterranean Feta and Vegetable Feast,1302,Vinegar,secondary,20ml
27,Mediterranean Feta and Vegetable Feast,1102,Cilantro,optional,10g
28,Spicy Tempeh and Butternut Squash Curry,702,Tofu,core,350g
28,Spicy Tempeh and Butternut Squash Curry,203,Coconut Milk,core,300ml
28,Spicy Tempeh and Butternut Squash Curry,804,Zucchini,core,250g
28,Spicy Tempeh and Butternut Squash Curry,1503,Peanut,secondary,40g
28,Spicy Tempeh and Butternut Squash Curry,1102,Cilantro,optional,5g
28,Spicy Tempeh and Butternut Squash Curry,302,Olive Oil,secondary,25ml
29,Roasted Vegetable and Tempeh Medley,702,Tofu,core,300g
29,Roasted Vegetable and Tempeh Medley,805,Carrot,core,200g
29,Roasted Vegetable and Tempeh Medley,804,Zucchini,core,150g
29,Roasted Vegetable and Tempeh Medley,302,Olive Oil,core,35ml
29,Roasted Vegetable and Tempeh Medley,1104,Paprika,secondary,5g
29,Roasted Vegetable and Tempeh Medley,1105,Cumin,secondary,5g
29,Roasted Vegetable and Tempeh Medley,1102,Cilantro,optional,10g
30,Protein-Rich Seitan and Vegetable Stir Fry,702,Tofu,core,250g
30,Protein-Rich Seitan and Vegetable Stir Fry,1201,Apple,core,200g
30,Protein-Rich Seitan and Vegetable Stir Fry,804,Zucchini,core,150g
30,Protein-Rich Seitan and Vegetable Stir Fry,1301,Soy Sauce,secondary,30ml
30,Protein-Rich Seitan and Vegetable Stir Fry,202,Ginger,secondary,20g
30,Protein-Rich Seitan and Vegetable Stir Fry,1101,Basil,optional,10g
